case_id,rows,time_end_s,temperature_min_c,temperature_max_c,chip_final_c,chip_peak_c,pressure_drop_max_pa,radiative_heat_rate_max_abs_w,energy_residual_max_abs_w
HV01_composite_conjugate,12,220,25.00001508,45.01330438,45.01330438,45.13857137,0.01088032547,0,0.1104539026
HV02_composite_radiation,12,220,24.99815948,44.63197071,44.63197071,44.75865705,0.01088284958,0.3957449502,0.01748052074
