case_id,role,rows,time_end_s,temperature_min_c,temperature_max_c,chip_max_c,pressure_drop_max_pa,radiative_heat_rate_max_abs_w,energy_residual_max_abs_w,energy_residual_p99_abs_w,missing_measurements,observation_coverage,group,fidelity,purpose,path
HV01_composite_conjugate,forecast,12,220,25.00001508,45.01330438,45.13857137,0.01088032547,0,0.1104539026,0.100490761,33,0.08333333333,high_fidelity_validation,conjugate_laminar,"Validate sequential power, airflow, and inlet-temperature ramps on the qualified mesh.",data/nonlinear_high_fidelity/dynamic/eval/forecast/HV01_composite_conjugate.csv
HV02_composite_radiation,model_gap,12,220,24.99815948,44.63197071,44.75865705,0.01088284958,0.3957449502,0.01748052074,0.01673264274,33,0.08333333333,high_fidelity_validation,conjugate_laminar_radiation,Measure radiation-only model gap for the identical composite transient.,data/nonlinear_high_fidelity/dynamic/eval/model_gap/HV02_composite_radiation.csv
