0.000000 50.400000 52.400000 51.400000 54.400000
1.000000 50.545000 52.807292 51.775000 53.605833
2.000000 50.666865 53.091753 52.028221 53.012767
3.000000 50.766393 53.289943 52.197106 52.568433
4.000000 50.845972 53.427515 52.307953 52.234414
5.000000 50.908556 53.522515 52.379163 51.982461
6.000000 50.957115 53.587657 52.423546 51.791748
7.000000 50.994363 53.631909 52.449979 51.646880
8.000000 51.022650 53.661596 52.464576 51.536446
9.000000 51.043935 53.681178 52.471520 51.451963
10.000000 51.059813 53.693794 52.473647 51.387104
11.000000 51.071559 53.701647 52.472862 51.337138
12.000000 51.080174 53.706282 52.470426 51.298512
13.000000 51.086436 53.708774 52.467158 51.268552
14.000000 51.090944 53.709868 52.463579 51.245239
15.000000 51.094154 53.710076 52.460009 51.227041
16.000000 51.096412 53.709746 52.456633 51.212792
17.000000 51.097975 53.709112 52.453548 51.201602
18.000000 51.099038 53.708329 52.450795 51.192791
19.000000 51.099743 53.707495 52.448381 51.185835
20.000000 51.100195 53.706673 52.446292 51.180330
