case_id,role,rows,time_end_s,temperature_min_c,temperature_max_c,chip_max_c,pressure_drop_max_pa,radiative_heat_rate_max_abs_w,energy_residual_max_abs_w,energy_residual_p99_abs_w,missing_measurements,observation_coverage,group,fidelity,purpose,path
NT01_power_levels,train,91,900.0,25.000009404676177,71.63118227699175,71.7883558610867,0.01674886087378549,0.0,0.03400882814604245,0.033833414716353614,0,1.0,power,conjugate_laminar,Identify level-dependent thermal resistance and time constants.,data/nonlinear/train/NT01_power_levels.csv
NT02_power_reverse,train,91,900.0,25.000009404676177,63.770556865022286,63.90147558005373,0.016434458922653654,0.0,0.015845318471515935,0.01231701328114021,0,1.0,power,conjugate_laminar,Separate heating and cooling dynamics after a high-power state.,data/nonlinear/train/NT02_power_reverse.csv
NT03_inlet_temperature_levels,train,91,900.0,25.000009404676177,66.02576643100258,66.129892207828,0.01635354902201714,0.0,0.0018348834712789142,0.0016222956452800461,0,1.0,inlet_temperature,conjugate_laminar,Identify air-temperature-level dependence at fixed flow.,data/nonlinear/train/NT03_inlet_temperature_levels.csv
NT04_air_velocity_levels,train,91,900.0,25.000009404676177,63.22902704066678,63.347202005694555,0.04283111112884734,0.0,0.004272536952903749,0.00226094000371687,0,1.0,air_velocity,conjugate_laminar,Identify cooling-conductance changes caused by inlet velocity.,data/nonlinear/train/NT04_air_velocity_levels.csv
NT05_power_ramp,train,91,900.0,25.000009404676177,58.98357125399167,59.08463912463981,0.01625306305279492,0.0,0.00445493696644661,0.0040084223385937505,0,1.0,ramps,conjugate_laminar,Identify nonlinear thermal response without relying on steps.,data/nonlinear/train/NT05_power_ramp.csv
NT06_combined_levels,train,91,900.0,25.000009404676177,60.45160357413272,60.610418710781346,0.04238094956892684,0.0,0.04438036306492066,0.02048104306321668,0,1.0,combined,conjugate_laminar,Disambiguate asynchronous changes in all three inputs.,data/nonlinear/train/NT06_combined_levels.csv
NT07_combined_ramps,train,91,900.0,25.000009404676177,60.84392010925296,60.99169528422016,0.035139334348681654,0.0,0.0029707534632477106,0.0016927896582782961,0,1.0,combined,conjugate_laminar,Cover the interior operating region with simultaneous smooth inputs.,data/nonlinear/train/NT07_combined_ramps.csv
NT08_hot_low_flow,train,91,900.0,35.00000395947444,82.85310150210336,82.97189547432276,0.006994904640934846,0.0,0.05297138679051283,0.05042392387573201,0,1.0,operating_corner,conjugate_laminar,"Include the hot, low-flow edge of the intended training domain.",data/nonlinear/train/NT08_hot_low_flow.csv
NT09_cold_high_flow,train,91,900.0,15.000020992469445,49.91933703655809,50.101109753834976,0.04266717320393333,0.0,0.03913560012564865,0.023851425230348503,0,1.0,operating_corner,conjugate_laminar,"Include the cold, high-flow edge of the intended training domain.",data/nonlinear/train/NT09_cold_high_flow.csv
NT10_stationary_hot_start,train,91,900.0,42.79040411696894,87.67509759871342,87.84431266421291,0.04299401804371002,0.0,0.0536031641874235,0.02511677304024271,0,1.0,initialization,conjugate_laminar,Start from a nonuniform stationary powered temperature field.,data/nonlinear/train/NT10_stationary_hot_start.csv
NF01_fixed_flow_interpolation,forecast,91,900.0,25.000009404676177,61.80198424756463,61.928431227005944,0.016448282301255123,0.0,0.016454316352266574,0.005176484302188129,270,0.01098901098901099,interpolation,conjugate_laminar,Interpolate power and inlet temperature at the nominal velocity.,data/nonlinear/eval/forecast/NF01_fixed_flow_interpolation.csv
